article_id,title,link,sentence_id,sentence
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,1,The family of a British couple held in Iran after being accused of spying say the pair have gone on hunger strike to press for their release.
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,2,"Lindsay and Craig Foreman, from East Sussex, were arrested in January of last year while passing through Iran on a global motorbike journey."
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,3,"The couple were sentenced in February to 10 years in jail on espionage charges, which they deny."
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,4,"The Foreign Office says it will keep working to get them safely back to the UK, calling their incarceration appalling and unjustified."
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,5,"Craig Foreman is believed to be 12 days into a hunger strike, which he began after the couple's phone access was cut off in early May."
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,6,"Other sources have confirmed to the family that Lindsay Foreman, 53, had paused a hunger strike after being told she would be able to contact her family, but had since resumed."
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,7,"Lindsay's son Joe Bennett described their food refusal as a ""medical emergency in the making""."
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,8,"He added: ""I understand British politics is in an extraordinary moment."
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,9,But my mum and Craig cannot wait for Westminster to resolve its own crisis.
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,10,"""Foreign Secretary Yvette Cooper must act personally and immediately."
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,11,This cannot be delayed.
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,12,This cannot be deprioritised.
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,13,"Two lives are at stake."""
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,14,"Before their phone access was cut off, the couple had spoken to the BBC from Iran's notorious Evin prison where they conceded they would probably be there ""for a long time""."
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,15,"""I just feel that we're wasting our lives in here and rotting away,"" Craig said."
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,16,"""We are innocent people."
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,17,"We have committed no offence."""
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,18,Members of the adventure motorbike community rode from Kensington Palace to Parliament Square on Wednesday to mark 500 days since the couple were first detained.
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,19,"Supporters, including MPs, relatives and friends, have delivered a petition to Downing Street calling for ""urgent action"" to return Lindsay and Craig Foreman to the UK."
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,20,"Tony Vaughan, the MP for Folkestone and Hythe, urged the government to recognise the pair as ""political hostages"" and said that he felt there was ""more the government could do""."
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,21,"In an address to Parliament in April, Foreign Office Minister Hamish Falconer described the pair as ""innocent tourists"" and called their case an ""injustice""."
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,22,"Speaking outside Downing Street on Wednesday, Bennett told the BBC that a hunger strike of his own was ""on the cards""."
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,23,"""We've got to do everything we can to support what sacrifices they're making,"" he said."
1,"British couple on new hunger strike in Iranian jail, family say",https://www.bbc.com/news/articles/c8e890y14r5o,24,"""It's that kind of thing, unfortunately, that brings the attention that's needed."""
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,1,"An Iranian journalist based in London has described how he was stabbed in the thigh in a ""violent"" and ""very frightening"" attack outside his London home by men accused of working for Iran."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,2,"Pouria Zeraati - a journalist and presenter at Iran International, a Persian language TV channel which is not supportive of the Iranian government - told a court he used a builder's utility belt to stop the bleeding."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,3,Two Romanian men are on trial at Woolwich Crown Court accused of the knife attack on 29 March 2024.
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,4,"George Stana, 25 and Nandito Badea, 21 have both denied charges of wounding with intent to do grievous bodily harm, and unlawful wounding."
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,5,The prosecution allege Stana and Badea flew in from Romania to carry out the attack as paid proxies working for the Iranian state.
2,Iranian journalist describes London stabbing by 'men working for Iran',https://www.bbc.com/news/articles/ckgpmdepz19o,6,"Giving evidence on Tuesday, Zeraati described going to his car which was parked near his home in Wimbledon when a man approached him to ask for ""£3 change""."
